#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
ADCY5	GNB3	9606.ENSP00000419361	9606.ENSP00000229264	0	0	0	0	0.085	0.070	0.600	0.087	0.647
ADCY5	GNB4	9606.ENSP00000419361	9606.ENSP00000232564	0	0	0	0	0.062	0.070	0.600	0.164	0.669
ADCY5	GNG13	9606.ENSP00000419361	9606.ENSP00000248150	0	0	0	0	0.103	0	0.600	0.266	0.713
ADCY5	GNG11	9606.ENSP00000419361	9606.ENSP00000248564	0	0	0	0	0	0	0.600	0.077	0.615
ADCY5	GNGT1	9606.ENSP00000419361	9606.ENSP00000248572	0	0	0	0	0	0	0.600	0.049	0.603
ADCY5	PPP1R1B	9606.ENSP00000419361	9606.ENSP00000254079	0	0	0	0	0.219	0	0	0.517	0.606
ADCY5	GNB5	9606.ENSP00000419361	9606.ENSP00000261837	0	0	0	0	0.062	0.070	0.600	0.238	0.698
ADCY5	GNAO1	9606.ENSP00000419361	9606.ENSP00000262494	0	0	0	0	0.201	0.201	0.900	0.617	0.972
ADCY5	PRKCG	9606.ENSP00000419361	9606.ENSP00000263431	0	0	0	0	0.159	0	0.600	0.127	0.680
ADCY5	AKT3	9606.ENSP00000419361	9606.ENSP00000263826	0	0	0	0	0.062	0.058	0.600	0.126	0.649
ADCY5	CACNA1C	9606.ENSP00000419361	9606.ENSP00000266376	0	0	0	0	0.132	0	0	0.736	0.761
ADCY5	CALM2	9606.ENSP00000419361	9606.ENSP00000272298	0	0	0	0	0.049	0.120	0.600	0.107	0.661
ADCY5	GNAQ	9606.ENSP00000419361	9606.ENSP00000286548	0	0	0	0	0.062	0.201	0	0.387	0.501
ADCY5	GNG3	9606.ENSP00000419361	9606.ENSP00000294117	0	0	0	0	0.151	0	0.600	0.256	0.725
ADCY5	GNG8	9606.ENSP00000419361	9606.ENSP00000300873	0	0	0	0	0.062	0	0.600	0.246	0.692
ADCY5	CALML6	9606.ENSP00000419361	9606.ENSP00000304643	0	0	0	0	0.049	0.120	0.600	0.047	0.638
ADCY5	GNB2	9606.ENSP00000419361	9606.ENSP00000305260	0	0	0	0	0.062	0.070	0.600	0.206	0.685
ADCY5	PRKCB	9606.ENSP00000419361	9606.ENSP00000305355	0	0	0	0	0.062	0	0.600	0.180	0.665
ADCY5	PRKACA	9606.ENSP00000419361	9606.ENSP00000309591	0	0	0	0	0.124	0.293	0.650	0.189	0.800
ADCY5	GNAI2	9606.ENSP00000419361	9606.ENSP00000312999	0	0	0	0	0.062	0.201	0.900	0.318	0.942
ADCY5	CALML3	9606.ENSP00000419361	9606.ENSP00000315299	0	0	0	0	0.062	0.120	0.600	0.047	0.643
ADCY5	GNAL	9606.ENSP00000419361	9606.ENSP00000334051	0	0	0	0	0.087	0.369	0.900	0.612	0.974
ADCY5	GNG2	9606.ENSP00000419361	9606.ENSP00000334448	0	0	0	0	0	0	0.600	0.272	0.696
ADCY5	PLCB1	9606.ENSP00000419361	9606.ENSP00000338185	0	0	0	0	0.089	0	0	0.539	0.562
ADCY5	CAMK2D	9606.ENSP00000419361	9606.ENSP00000339740	0	0	0	0	0	0.077	0.600	0.219	0.686
ADCY5	GNAI1	9606.ENSP00000419361	9606.ENSP00000343027	0	0	0	0	0.082	0.391	0.900	0.300	0.955
ADCY5	DRD2	9606.ENSP00000419361	9606.ENSP00000354859	0	0	0	0	0.097	0.056	0	0.458	0.498
ADCY5	GNAI3	9606.ENSP00000419361	9606.ENSP00000358867	0	0	0	0	0.062	0.201	0.900	0.218	0.933
ADCY5	GNG5	9606.ENSP00000419361	9606.ENSP00000359675	0	0	0	0	0	0	0.600	0.225	0.677
ADCY5	PRKACB	9606.ENSP00000419361	9606.ENSP00000359719	0	0	0	0	0.134	0.139	0.650	0.281	0.787
ADCY5	GNG12	9606.ENSP00000419361	9606.ENSP00000360021	0	0	0	0	0	0	0.600	0.205	0.668
ADCY5	GNAS	9606.ENSP00000419361	9606.ENSP00000360141	0	0	0	0	0.064	0.697	0.900	0.749	0.991
ADCY5	GNG10	9606.ENSP00000419361	9606.ENSP00000363411	0	0	0	0	0	0	0.600	0.221	0.675
